Local Authority,Calendar Year,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
Calderdale,2007,59.91346434516915,363.9608,168.56622143594458,529.0847041477226,4.765783509533178,318.82127988863624,1.7640261745062438,8.704345144932898,199.275,68.44926662670477,435.0996227892333,152.85979334858604
Calderdale,2008,57.777617787630184,363.9608,168.80530449535493,526.0528623639382,4.776369581561506,321.95144180996124,0.6590059523946675,8.650533907249159,200.96,68.10383597730976,416.42534099996124,178.6358846142407
Calderdale,2009,55.67401279313913,363.9608,143.8119504636574,483.4040689390518,4.335324076578967,292.83171353441276,-0.24337702514806497,7.808311736908235,202.078,58.23000661144389,403.7394834765037,140.44016037788134
Calderdale,2010,53.54609120280928,363.9608,153.14734400233226,519.3705784951048,4.566106510307308,311.5953312018089,0.5637638064521386,8.184643994191825,203.049,63.572726546863066,400.74000954263084,159.34793357865425
Calderdale,2011,52.263436559863464,363.9608,144.65072428012758,459.7646062500365,4.233718046115077,287.3937759976907,-0.8412255835670157,7.547178366255965,204.17,58.627439925798406,399.6359561956227,139.4126934129083
Calderdale,2012,52.42510533648028,363.9608,147.97690040267244,489.84356368393253,4.252716248056308,302.0903488211857,-1.4520534581564315,7.556295666597483,204.83872999539992,61.27431406407721,386.16116272905106,109.50266623632936
Calderdale,2013,52.45567123112953,363.9608,140.472130897264,473.08797996554154,4.152724487444847,297.982632986287,-1.4726643684791332,7.352611896720704,205.56353957756428,58.638748448967014,385.33350910111596,104.93091836819121
Calderdale,2014,52.684408544662446,363.9608,119.52113014786467,400.9325490555503,3.8421498752829573,268.63936020702397,-2.950066272133634,6.7694348055677,206.57440133373336,49.42142746738682,401.21489625383487,108.92823692369544
Calderdale,2015,52.340604794660734,363.9608,107.07129851794761,391.38124122517587,3.69389869995828,243.48931186350222,-4.169759948272112,6.475257761529344,207.62637959268568,45.71076942689167,405.2667198238146,103.344140252055
Calderdale,2016,53.55160388316926,363.9608,95.06042342557534,369.4374464957569,3.5431770572403383,219.9445896421321,-4.789019750936865,6.1444885087495065,209.87549320965158,38.90912314497407,411.8891400410125,105.57424941315597
Calderdale,2017,56.09271988332088,363.9608,72.7364449266879,352.1577232123656,3.4008242257205885,210.56826563186104,-6.001426569588542,5.8834383254689895,210.38152137916384,40.0326622737307,407.92140771215674,104.25890878211216
Calderdale,2018,53.26765685253413,363.9608,42.66695605540594,342.8105395912765,3.3328493839992803,223.2211043864247,-8.08737217020399,5.768497405154127,210.2846621714784,43.33403302028416,401.5731022501986,114.24050809396525
Calderdale,2019,51.062037002124455,363.9608,35.0654181717118,338.1587100160303,3.167023088387689,207.88053335064876,-9.934908058509881,5.470213226270346,210.7179755502802,32.107087505117796,402.89635043963517,95.43702844129571
Calderdale,2020,49.87833622542273,363.9608,27.46277195643616,324.84164584788977,2.79800455083175,182.11234925311513,-12.141470199962521,4.848864942764202,210.02110529888748,27.19261414950902,331.14478256325106,87.87294492870285
Calderdale,2021,51.31894814387714,363.9608,32.847084380749926,334.4681344882055,2.9545124716936133,189.23546027491545,-12.16411279895539,5.199386527321534,206.818,34.66425685652645,344.4217735918034,100.53517787046212
Craven,2005,312.42547404676867,1178.8073,56.08074884976204,170.82196194296063,0.7338302037093166,84.85981790236951,23.11895556253072,15.760173464018173,54.888,14.356102173569708,169.48680662764588,33.89453398742216
Craven,2006,295.4938336718294,1178.8073,52.857664519913016,172.03630671156526,0.7109787090883477,79.71992138133335,21.709326878878176,15.214517162580703,55.086,12.529897656511057,171.71600446588226,32.04393713200802
Craven,2007,302.8526834081629,1178.8073,51.7286246456813,165.34996942234372,0.7023549532280016,78.75703940488083,20.13684868286883,14.946134959045523,55.395,12.656110709479949,172.3392181467489,24.120651636160215
Craven,2008,303.07552915533495,1178.8073,52.09127884080739,166.27165156519527,0.6838831639721351,71.43331415072963,18.23138210310942,14.503048717976647,55.586,11.650496381438337,165.89613082034788,17.516683020486948
