,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
38,Boston,1159.2669319558092,6762.4758999999995,816.0057670351576,2245.1943064166576,21.00515691707243,1097.5615616705622,300.54817257729684,129.22138829034657,1111.3730164894637,191.3595193723514,2072.893008807421,472.86881613066026
39,Broxtowe,218.65115978180717,1361.6812999999997,1374.1257252861822,3759.570003955657,166.73422627490345,2433.908403242422,-28.02569862363477,121.40907035030015,1872.934786366836,239.44467587444987,4886.97937149682,470.5744759571609
40,Charnwood,1292.802492714211,4743.724199999998,1721.4933987523357,5587.418755907616,71.30315772540695,3927.173422932273,-142.97544782049624,118.84659963302215,2873.3915366524143,924.9985823634672,5670.767314781957,914.9400002762735
41,Chesterfield,173.42386211269712,1122.5984000000003,1092.456316091041,3411.583117937288,164.75553174375136,1761.9783026647483,-1.3689155053831898,105.1449768062013,1762.252774710473,530.6575058916094,2589.293549511259,1321.6407511017096
42,Derby,142.0108738189147,1326.5286999999998,3770.6278588614873,7635.640055224295,339.6941952991214,4350.32928181441,57.18857888375601,106.07455897293308,4283.6909171669895,1693.5934368848923,6700.22064205289,2157.100995264631
43,Derbyshire Dales,5974.596475074939,13520.402600000003,757.374271558319,2931.916670057329,21.125645411027463,3004.4293867047454,-1031.7394999267751,236.26445912890836,1210.7210336114204,242.71094275235288,4138.541010945655,783.772574711894
44,East Lindsey,6089.26883334519,31124.57239999999,1571.3710058070346,5253.460612326404,13.113389726735528,2194.2324352488235,2571.601954164155,173.35141608859573,2360.810602265575,391.0038474242076,4905.9046345414345,1031.9006747425246
45,Erewash,374.96097045902565,1863.7117000000005,936.0477802764444,3791.3578469496492,120.5546943533751,1927.5911667924279,-38.74610594729284,117.62894434391798,1914.0911151336504,429.37745156134474,4305.482599106455,1490.3514882318905
46,Gedling,315.69514900477066,2039.6889000000006,671.7401002344448,4099.941955119797,78.47081675810843,1747.6852313149175,-83.0609273565533,82.24379082472534,1953.0906830373956,315.81689205874375,1867.1531615600147,480.09043309020274
47,Harborough,3146.209717105426,10075.765700000002,1051.8031568572035,3257.749637371807,25.6727454853536,1277.2434727570612,-145.81007388242958,173.94261340631243,1499.367227762343,247.88808228217658,5817.699364366937,563.2500776215664
48,High Peak,1777.8078173419385,9184.3197,1118.249872763035,3393.0178122653106,99.92814606712324,43684.726272068954,230.12633968337002,592.9009547226673,1548.4843811960855,259.30626226053914,2891.8685576485855,631.4876841304765
49,Hinckley and Bosworth,1635.4908519824608,5054.9738,1120.6935462173956,3787.567906387445,49.23085316343831,2524.143945600762,-118.11689018589449,136.51247904797842,1832.641339174811,193.97798912973263,4866.398279337715,628.7074828731999
50,Leicester,64.95303027779714,1246.8157,3501.169631868656,9239.443458633688,399.56260448594173,7875.280599196243,66.16242032915956,88.18415637673658,5745.922481034895,2056.196996505438,6045.557553890984,455.9968037664177
